question,policy,k,numbers,acc,f1,auroc
Is there evidence of meniscal abnormality?,dense baseline,512,512.0,0.725,0.5299145299145299,0.8031987577639751
Is there evidence of meniscal abnormality?,full sparse,1024,66.96778106689453,0.7355555555555555,0.49361702127659574,0.7798775017253278
Is there evidence of meniscal abnormality?,question-aware,1,2.0,0.7111111111111111,0.4310722100656455,0.6920186335403726
Is there evidence of meniscal abnormality?,activation-only,1,2.0,0.6716666666666666,0.43008678881388623,0.708100414078675
Is there evidence of meniscal abnormality?,random-k,1,2.0,0.7666666666666667,0.004739336492890996,0.5018064182194617
Is there evidence of meniscal abnormality?,question-aware,2,4.0,0.74,0.4608294930875576,0.7281280193236714
Is there evidence of meniscal abnormality?,activation-only,2,4.0,0.6955555555555556,0.46168958742632615,0.7287042788129745
Is there evidence of meniscal abnormality?,random-k,2,4.0,0.7638888888888888,0.013921113689095127,0.5033609385783299
Is there evidence of meniscal abnormality?,question-aware,4,8.0,0.7605555555555555,0.5063001145475372,0.7696290545203588
Is there evidence of meniscal abnormality?,activation-only,4,8.0,0.7205555555555555,0.47108307045215564,0.7571066252587992
Is there evidence of meniscal abnormality?,random-k,4,8.0,0.7616666666666667,0.03160270880361174,0.5061352657004832
Is there evidence of meniscal abnormality?,question-aware,8,16.0,0.7522222222222222,0.4920273348519362,0.77552104899931
Is there evidence of meniscal abnormality?,activation-only,8,16.0,0.7294444444444445,0.47914438502673795,0.7610282953761215
Is there evidence of meniscal abnormality?,random-k,8,16.0,0.7444444444444445,0.07630522088353414,0.5123473084886129
Is there evidence of meniscal abnormality?,question-aware,16,32.0,0.765,0.5143513203214696,0.7831590752242926
Is there evidence of meniscal abnormality?,activation-only,16,32.0,0.7338888888888889,0.49631966351209256,0.775491718426501
Is there evidence of meniscal abnormality?,random-k,16,32.0,0.7094444444444444,0.14959349593495935,0.5145350241545894
Is there evidence of meniscal abnormality?,question-aware,32,64.0,0.7594444444444445,0.5096262740656852,0.786564872325742
Is there evidence of meniscal abnormality?,activation-only,32,64.0,0.7338888888888889,0.4887940234791889,0.7789164941338854
Is there evidence of meniscal abnormality?,random-k,32,64.0,0.67,0.24619289340101522,0.5406400966183574
Is there evidence of meniscal abnormality?,question-aware,64,128.0,0.7455555555555555,0.5021739130434782,0.7874775707384403
Is there evidence of meniscal abnormality?,activation-only,64,128.0,0.7355555555555555,0.49361702127659574,0.7798464458247066
Is there evidence of meniscal abnormality?,random-k,64,128.0,0.6477777777777778,0.3283898305084746,0.5660636645962733
Is there an anterior cruciate ligament tear?,dense baseline,512,512.0,0.865,0.6473149492017417,0.9393995324227882
Is there an anterior cruciate ligament tear?,full sparse,1024,66.96778106689453,0.8922222222222222,0.6596491228070176,0.9323679299454494
Is there an anterior cruciate ligament tear?,question-aware,1,2.0,0.8433333333333334,0.5220338983050847,0.84163000902342
